date_time,temp,rH
197211170000,-5.555555556,49.59020652
197211170300,-6.111111111,41.08255586
197211170600,-6.666666667,53.97822094
197211170900,-7.222222222,64.51558659
197211171200,-7.777777778,67.34318738
197211171500,-8.333333333,67.21573829
197211171800,-7.222222222,61.67721393
197211172100,-6.111111111,64.78388743
197211180000,-6.111111111,51.73257196
197211180300,-6.666666667,67.59607838
197211180600,-7.222222222,58.95085381
197211180900,-8.333333333,53.49785414
197211181200,-8.888888889,58.5009601
197211181500,-8.888888889,61.24717325
197211181800,-8.888888889,64.10800576
197211182100,-6.111111111,30.91931689
197211190000,-4.444444444,29.98703068
197211190300,-6.666666667,37.22691425
197211190600,-6.666666667,44.90863094
197211190900,-8.888888889,64.10800576
197211191200,-11.11111111,72.98121725
197211191500,-11.66666667,66.43674014
197211191800,-10,50.57676582
197211192100,-8.333333333,28.76436714
197211200000,-6.666666667,22.90487657
197211200300,-4.444444444,21.36312625
197211200600,-6.111111111,34.02368195
197211200900,-8.333333333,58.65162148
197211201200,-9.444444444,61.10242856
197211201500,-9.444444444,61.10242856
197211201800,-9.444444444,58.34959782
197211202100,-7.777777778,46.69629424
197211210000,-6.111111111,21.95196794
197211210300,-5.555555556,19.03822018
197211210600,-6.111111111,35.67816772
197211210900,-7.222222222,49.08967273
197211211200,-7.777777778,61.53456249
197211211500,-8.888888889,67.0876148
197211211800,-8.333333333,73.52867118
197211212100,-6.111111111,47.20791252
197211220000,-5,36.03207684
197211220300,-3.888888889,38.10953196
197211220600,-5.555555556,35.85532437
197211220900,-6.666666667,49.25715145
197211221200,-8.333333333,61.39121674
197211221500,-8.888888889,55.86533259
197211221800,-7.777777778,56.1775526
197211222100,-7.222222222,49.08967273
197211230000,-6.111111111,41.08255586
197211230300,-5.555555556,31.09490221
197211230600,-6.666666667,51.56943209
197211230900,-8.333333333,67.21573829
197211231200,-9.444444444,76.68534585
197211231500,-10,73.20207635
197211231800,-10.55555556,39.66129734
197211232100,-8.333333333,44.38783673
197211240000,-6.111111111,43.04030294
197211240300,-4.444444444,34.55349792
197211240600,-6.111111111,37.40432393
197211240900,-8.888888889,36.51290218
197211241200,-12.77777778,66.17152733
197211241500,-12.22222222,63.27400396
197211241800,-11.11111111,41.45096192
197211242100,-7.777777778,35.14429638
197211250000,-6.666666667,22.90487657
197211250300,-5.555555556,34.20065229
197211250600,-6.666666667,40.90669196
197211250900,-8.888888889,48.5834175
197211251200,-15,56.7967533
197211251500,-11.66666667,50.0714703
197211251800,-8.888888889,34.78640589
197211252100,-6.666666667,44.90863094
197211260000,-5.555555556,24.40626164
197211260300,-5.555555556,37.58129236
197211260600,-5.555555556,49.59020652
197211260900,-5.555555556,32.6146826
197211261200,-5.555555556,24.40626164
197211261500,-5.555555556,43.21415629
197211261800,-6.111111111,39.20485612
197211262100,-4.444444444,41.60705251
197211270000,-4.444444444,47.71405302
197211270300,-4.444444444,54.60931149
197211270600,-4.444444444,57.09777158
197211270900,-5,54.45253918
197211271200,-5,54.45253918
197211271500,-4.444444444,47.71405302
